latitude,longitude,altitude,geometry,ACCOUNT,ACREAGE,CONDO_FLAG,COUNTY,DMG_LEVEL,FIPS,HCAD_NUM,IMPROVEMEN,IN_DEPTH,KEY_MAP,LAND_USE_C,LAND_USE_D,LAND_VALUE,LATITUDE,LONGITUDE,LocAddr,LocName,LocNum,MAIL_CITY,MAIL_STATE,MAIL_ZIP,NEIGHBORHO,NEIGHBOR_1,NEW_CONSTR,OBJECTID,OBJECTID_2,PERIMETER,SCHOOL_DIS,Shape_Le_1,Shape_Leng,Shape_area,Shape_len,TAX_YEAR,TOTAL_APPR,TOTAL_BUIL,TOTAL_LAND,TOTAL_MARK,TOTAL_RCN_,UNITS,UNIT_PRICE,UNIT_TYPE,WTSHNAME,WTSHUNIT,YR_IMPR,city,cohgis_COU,index_right
29.8407,-95.6359,,Point,1068480000011,.1931,0,Harris,MIN,48201,1068480000011,143489,2.64528656006,448F,1001,Res Improved Table Value,25050,29.8407,-95.6359,15702 TUMBLING RAPIDS DR,TUMBLING RAPIDS,15702,CYPRESS,TX,77429-3851,2906.00,19036,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,168539,2160,8410,168539,220753,7500.0000,3.30,SF,ADDICKS RESERVOIR,U,1976,HOUSTON,0,0
29.8344,-95.6506,,Point,1142710060011,.2011,0,Harris,AFF,48201,1142710060011,96345,0.772430419922,448E,1001,Res Improved Table Value,22911,29.8344,-95.6506,4142 SCONE ST,SCONE,4142,HOUSTON,TX,77084-4073,2897.00,19038,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,113580,1647,8760,120319,169027,6300.0000,3.50,SF,ADDICKS RESERVOIR,U,1979,HOUSTON,0,0
29.8427,-95.638,,Point,1094600000004,.1911,0,Harris,AFF,48201,1094600000004,139372,0.320442199707,448B,1001,Res Improved Table Value,25021,29.8427,-95.638,15819 CREEKHAVEN DR,CREEKHAVEN,15819,HOUSTON,TX,77084-3611,2906.00,19036,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,173155,1984,8322,173155,196298,7500.0000,3.30,SF,ADDICKS RESERVOIR,U,1976,HOUSTON,0,0
29.8345,-95.6583,,Point,1131940000010,1.7373,0,Harris,AFF,48201,1131940000010,621494,0.355812072754,447H,1001,Res Improved Table Value,97006,29.8345,-95.6583,17119 S  IVY CIR,IVY,17119,HOUSTON,TX,77084-3337,2895.00,19001,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,718500,4615,75674,718500,768221,53430.0000,1.75,SF,ADDICKS RESERVOIR,U,1993,HOUSTON,0,0
29.8423,-95.6414,,Point,1147680020007,.1204,0,Harris,AFF,48201,1147680020007,125745,0.260124206543,448A,1001,Res Improved Table Value,21231,29.8423,-95.6414,4630 GREEN TRAIL DR,GREEN TRAIL,4630,HOUSTON,TX,77084-2945,2902.00,19036,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,140016,1628,5244,146976,193454,3520.0000,5.75,SF,ADDICKS RESERVOIR,U,1983,HOUSTON,0,0
29.8316,-95.6524,,Point,1142710020003,.1446,0,Harris,MIN,48201,1142710020003,94537,2.36505126953,447H,1001,Res Improved Table Value,22050,29.8316,-95.6524,16611 PARK FIRTH DR,PARK FIRTH,16611,HOUSTON,TX,77084-4052,2897.00,19038,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,116587,1809,6300,116587,152479,6300.0000,3.50,SF,ADDICKS RESERVOIR,U,1979,HOUSTON,0,0
29.8347,-95.6506,,Point,1142710060013,.1997,0,Harris,AFF,48201,1142710060013,92515,1.44149780273,448E,1001,Res Improved Table Value,22890,29.8347,-95.6506,4150 SCONE ST,SCONE,4150,HOUSTON,TX,77084-4073,2897.00,19038,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,105894,1439,8700,115405,162307,6300.0000,3.50,SF,ADDICKS RESERVOIR,U,1979,HOUSTON,0,0
29.8404,-95.6397,,Point,1068430000023,.1994,0,Harris,MIN,48201,1068430000023,131746,3.00368499756,448E,1001,Res Improved Table Value,25141,29.8404,-95.6397,4523 CLOUDMOUNT DR,CLOUDMOUNT,4523,HOUSTON,TX,77084-3509,2906.00,19036,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,156887,1872,8685,156887,202686,7500.0000,3.30,SF,ADDICKS RESERVOIR,U,1975,HOUSTON,0,0
29.8406,-95.6401,,Point,1068430000011,.1931,0,Harris,MIN,48201,1068430000011,114190,2.79072570801,448E,1001,Res Improved Table Value,25050,29.8406,-95.6401,4530 TURF VALLEY DR,TURF VALLEY,4530,HOUSTON,TX,77084-3538,2906.00,19036,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,144971,1785,8410,144971,175677,7500.0000,3.30,SF,ADDICKS RESERVOIR,U,1975,HOUSTON,0,0
29.8344,-95.6595,,Point,1131940000012,1.2954,0,Harris,AFF,48201,1131940000012,486221,0.530563354492,447H,1001,Res Improved Table Value,94028,29.8344,-95.6595,17135 S  IVY CIR,IVY,17135,HOUSTON,TX,77084-3337,2895.00,19001,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,454411,3381,56428,580249,650233,53430.0000,1.75,SF,ADDICKS RESERVOIR,U,1995,HOUSTON,0,0
29.8412,-95.6352,,Point,1094590000053,.3437,0,Harris,MIN,48201,1094590000053,124772,2.26296234131,448B,1001,Res Improved Table Value,27215,29.8412,-95.6352,4603 LAUREL HEIGHTS CT,LAUREL HEIGHTS,4603,HOUSTON,TX,77084-3613,2906.00,19036,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,156315,1817,14970,156315,189048,7500.0000,3.30,SF,ADDICKS RESERVOIR,U,1977,HOUSTON,0,0
29.841,-95.6361,,Point,1094590000045,.2994,0,Harris,MIN,48201,1094590000045,142389,2.51837921143,448B,1001,Res Improved Table Value,26579,29.841,-95.6361,4603 THISTLECROFT DR,THISTLECROFT,4603,HOUSTON,TX,77084-3642,2906.00,19036,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,181199,2636,13041,181199,241338,7500.0000,3.30,SF,ADDICKS RESERVOIR,U,1976,HOUSTON,0,0
29.841,-95.6396,,Point,1068430000026,.1933,0,Harris,MIN,48201,1068430000026,140811,2.64368438721,448A,1001,Res Improved Table Value,25053,29.841,-95.6396,4603 CLOUDMOUNT DR,CLOUDMOUNT,4603,HOUSTON,TX,77084-3511,2906.00,19036,0,1,1,348266.802,19,348266.802311,348266.798985,3859573403.56,348266.801695,2017,169711,2284,8418,169711,216632,7500.0000,3.30,SF,ADDICKS RESERVOIR,U,1975,HOUSTON,0,0
